N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,2,none,0,65,96.3515625,99.734375,0.0,0.0,20.9453125,-10.832976341247559
12,100,2,none,0,66,95.67578125,100.45703125,0.0,0.0,20.83203125,-10.630534172058105
12,100,2,none,0,67,95.43359375,98.9609375,0.0,0.0,21.08203125,-10.734538078308105
12,100,2,none,0,68,95.5390625,99.6796875,0.0,0.0,20.55859375,-10.885970115661621
12,100,2,none,0,69,96.3984375,99.21875,0.0,0.0,20.4921875,-10.801595687866211
12,100,2,none,0,70,94.66015625,100.0546875,0.0,0.0,20.8125,-10.528190612792969
12,100,2,none,0,71,95.078125,100.05859375,0.0,0.0,20.65234375,-10.649120330810547
12,100,2,none,0,72,95.8125,100.34375,0.0,0.0,20.33984375,-10.787337303161621
12,100,2,none,0,73,96.3515625,99.38671875,0.0,0.0,20.3828125,-10.907877922058105
12,100,2,none,0,74,96.98046875,100.21484375,0.0,0.0,19.84765625,-10.633918762207031
12,100,2,none,0,75,96.1171875,100.484375,0.0,0.0,20.6640625,-10.916537284851074
12,100,2,none,0,76,95.83984375,100.95703125,0.0,0.0,20.4140625,-10.580078125
12,100,2,none,0,77,95.02734375,100.96484375,0.0,0.0,20.24609375,-10.512923240661621
12,100,2,none,0,78,96.85546875,101.2109375,0.0,0.0,20.08984375,-10.807162284851074
12,100,2,none,0,79,96.1484375,102.3359375,0.0,0.0,19.99609375,-10.459440231323242
12,100,2,none,0,80,95.95703125,102.1484375,0.0,0.0,19.78125,-10.427799224853516
12,100,2,none,0,81,95.44140625,100.92578125,0.0,0.0,19.97265625,-10.613378524780273
12,100,2,none,0,82,95.7109375,102.17578125,0.0,0.0,19.48828125,-10.472819328308105
12,100,2,none,0,83,95.86328125,101.96484375,0.0,0.0,19.46484375,-10.533692359924316
12,100,2,none,0,84,96.2890625,102.984375,0.0,0.0,19.671875,-10.44941520690918
12,100,2,none,0,85,95.71484375,103.62109375,0.0,0.0,19.54296875,-10.266471862792969
12,100,2,none,0,86,96.07421875,103.21484375,0.0,0.0,19.24609375,-10.33125114440918
12,100,2,none,0,87,97.1328125,102.83984375,0.0,0.0,18.97265625,-10.325749397277832
12,100,2,none,0,88,96.546875,103.64453125,0.0,0.0,18.87890625,-10.318131446838379
12,100,2,none,0,89,95.27734375,104.05078125,0.0,0.0,19.328125,-10.201301574707031
12,100,2,none,0,90,96.15625,104.125,0.0,0.0,19.46875,-10.254623413085938
12,100,2,none,0,91,97.67578125,103.32421875,0.0,0.0,18.73046875,-10.391667366027832
12,100,2,none,0,92,96.09765625,103.67578125,0.0,0.0,18.9609375,-10.19189453125
12,100,2,none,0,93,97.296875,105.0390625,0.0,0.0,18.60546875,-10.114648818969727
12,100,2,none,0,94,97.1171875,103.97265625,0.0,0.0,18.2109375,-10.044921875
12,100,2,none,0,95,97.8046875,103.80859375,0.0,0.0,18.4609375,-10.1767578125
12,100,2,none,0,96,96.12890625,105.078125,0.0,0.0,18.50390625,-9.841113090515137
12,100,2,none,0,97,97.44140625,104.2578125,0.0,0.0,18.2578125,-10.227733612060547
12,100,2,none,0,98,96.1796875,103.796875,0.0,0.0,18.546875,-10.194954872131348
12,100,2,none,0,99,97.1875,104.05859375,0.0,0.0,18.5703125,-10.043392181396484
12,100,2,none,0,100,96.92578125,105.23828125,0.0,0.0,17.875,-9.737956047058105
12,100,2,none,0,101,97.0390625,105.07421875,0.0,0.0,17.7890625,-10.000261306762695
12,100,2,none,0,102,97.4296875,105.5859375,0.0,0.0,17.42578125,-9.769660949707031
12,100,2,none,0,103,96.69140625,106.1484375,0.0,0.0,17.4921875,-9.709537506103516
12,100,2,none,0,104,97.09765625,105.26953125,0.0,0.0,17.484375,-9.812435150146484
