N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,0,1,644,55.05078125,65.72265625,267.1171875,265.1953125,0.6496458649635315,0.36338746547698975,18.58203125,-26.508840560913086
12,100,8.75,0,1,645,55.12890625,66.7265625,271.703125,265.17578125,0.6933870911598206,0.36701586842536926,18.51171875,-26.311491012573242
12,100,8.75,0,1,646,55.01171875,64.94140625,269.109375,259.359375,0.6571469306945801,0.36507126688957214,19.83203125,-27.82754135131836
12,100,8.75,0,1,647,56.3359375,64.66796875,278.5625,263.96875,0.6593826413154602,0.37296807765960693,18.94921875,-27.04507064819336
12,100,8.75,0,1,648,55.7734375,64.9765625,271.03125,262.546875,0.6236909031867981,0.3712973892688751,19.76953125,-27.995346069335938
12,100,8.75,0,1,649,54.60546875,65.890625,267.76953125,265.2109375,0.6794858574867249,0.35964491963386536,19.61328125,-27.46320152282715
12,100,8.75,0,1,650,54.87890625,65.28125,267.390625,264.3046875,0.6537722945213318,0.3637349605560303,18.890625,-26.833595275878906
12,100,8.75,0,1,651,54.89453125,66.48828125,267.76171875,268.59765625,0.6449922323226929,0.3621799051761627,19.296875,-27.084083557128906
12,100,8.75,0,1,652,54.8671875,65.89453125,263.28125,263.7890625,0.6928335428237915,0.36244335770606995,19.3046875,-26.999889373779297
12,100,8.75,0,1,653,55.44140625,66.08984375,267.6796875,267.41015625,0.6572868824005127,0.36607638001441956,18.734375,-26.48379135131836
12,100,8.75,0,1,654,56.37890625,66.42578125,270.12890625,262.9765625,0.6586130261421204,0.3725096881389618,19.48828125,-27.37031364440918
12,100,8.75,0,1,655,55.76953125,64.19140625,268.046875,258.55859375,0.6462017297744751,0.36657941341400146,19.5078125,-27.634033203125
12,100,8.75,0,1,656,55.17578125,66.2265625,264.97265625,262.0078125,0.6649975776672363,0.36477160453796387,19.1953125,-26.90673828125
12,100,8.75,0,1,657,56.671875,66.66015625,267.0859375,264.1015625,0.6337498426437378,0.3722788095474243,18.7421875,-26.798114776611328
12,100,8.75,0,1,658,55.0,66.7578125,259.39453125,260.55078125,0.6667315363883972,0.3615078926086426,19.59375,-27.332733154296875
12,100,8.75,0,1,659,55.50390625,66.78125,263.2890625,262.15625,0.6150403618812561,0.3692646622657776,19.96875,-28.07921600341797
12,100,8.75,0,1,660,55.16015625,66.140625,260.30078125,261.90234375,0.6754116415977478,0.36086225509643555,18.84765625,-26.46516990661621
12,100,8.75,0,1,661,55.77734375,65.734375,264.64453125,257.86328125,0.6757200360298157,0.36688485741615295,18.703125,-26.32046127319336
12,100,8.75,0,1,662,55.35546875,66.28515625,261.45703125,262.40234375,0.668178141117096,0.36462894082069397,20.10546875,-27.777996063232422
12,100,8.75,0,1,663,56.3046875,66.12109375,268.08203125,263.16015625,0.6515477299690247,0.3714682459831238,19.48046875,-27.352102279663086
12,100,8.75,0,1,664,54.86328125,66.08203125,254.296875,260.45703125,0.6485397219657898,0.36293110251426697,19.83203125,-27.667076110839844
12,100,8.75,0,1,665,55.2421875,66.21484375,259.19921875,262.27734375,0.6659197807312012,0.36217591166496277,18.93359375,-26.601482391357422
12,100,8.75,0,1,666,54.1640625,66.48828125,255.26953125,263.23828125,0.654662013053894,0.35907673835754395,19.82421875,-27.66222381591797
12,100,8.75,0,1,667,54.9765625,66.92578125,262.72265625,265.16796875,0.6199494004249573,0.36177119612693787,18.984375,-26.870899200439453
12,100,8.75,0,1,668,54.8203125,66.58984375,256.90625,262.5625,0.6899205446243286,0.36250683665275574,19.3515625,-26.981204986572266
12,100,8.75,0,1,669,55.0078125,65.4453125,259.765625,259.65625,0.6854174137115479,0.36122098565101624,19.83203125,-27.493083953857422
12,100,8.75,0,1,670,55.23046875,66.36328125,260.94921875,263.57421875,0.674979031085968,0.365324467420578,19.453125,-27.2099609375
12,100,8.75,0,1,671,54.64453125,67.63671875,260.03125,264.66015625,0.6505107283592224,0.3611399829387665,18.07421875,-25.67413902282715
12,100,8.75,0,1,672,57.42578125,65.81640625,271.23046875,259.28125,0.6645451188087463,0.37558096647262573,19.078125,-26.95291519165039
12,100,8.75,0,1,673,56.2578125,66.68359375,260.94921875,260.55078125,0.702153742313385,0.3689919710159302,19.5546875,-27.00695037841797
12,100,8.75,0,1,674,55.578125,68.08984375,258.50390625,264.2109375,0.6727230548858643,0.3657778799533844,20.11328125,-27.773815155029297
12,100,8.75,0,1,675,54.66796875,67.28515625,253.45703125,266.83203125,0.6653909683227539,0.3601625859737396,20.47265625,-28.12438201904297
12,100,8.75,0,1,676,55.69140625,67.9765625,265.73046875,267.2109375,0.6573662161827087,0.3644186556339264,19.73046875,-27.53847885131836
12,100,8.75,0,1,677,55.27734375,67.48046875,263.21875,267.7734375,0.651268482208252,0.36684083938598633,19.81640625,-27.736526489257812
12,100,8.75,0,1,678,56.0390625,67.62890625,265.83984375,270.2265625,0.6821100115776062,0.3658323287963867,19.01953125,-26.760757446289062
