condition,seed,update,enforce,freeze,bonus_on,removal_on,hazard_on,coord_on,eat0,eat1,eat2,eat3,enc0,enc1,enc2,enc3,selectivity,prevalence,zaps,ret
none,1,22,1.0,0.0,1.0,1.0,1.0,1.0,41.19921875,54.015625,48.546875,48.23828125,147.33984375,185.19140625,167.05078125,167.515625,0.0,0.0,10.8359375,10.950675964355469
none,1,23,1.0,0.0,1.0,1.0,1.0,1.0,40.55859375,53.62109375,48.96484375,49.59375,143.46484375,182.79296875,168.734375,171.546875,0.0,0.0,10.41796875,11.402514457702637
none,1,24,1.0,0.0,1.0,1.0,1.0,1.0,40.94140625,53.59375,50.25,49.98046875,145.44140625,183.671875,169.23046875,172.95703125,0.0,0.0,10.17578125,11.654870986938477
none,1,25,1.0,0.0,1.0,1.0,1.0,1.0,41.51171875,55.8828125,50.69140625,48.8671875,145.953125,188.0625,170.33984375,167.48828125,0.0,0.0,9.88671875,11.986536026000977
none,1,26,1.0,0.0,1.0,1.0,1.0,1.0,41.9765625,55.9296875,50.5703125,49.44921875,145.8984375,184.7421875,169.765625,169.40234375,0.0,0.0,9.953125,11.881354331970215
none,1,27,1.0,0.0,1.0,1.0,1.0,1.0,42.81640625,55.01171875,51.7109375,50.18359375,148.90234375,182.9296875,172.16015625,170.6015625,0.0,0.0,9.39453125,12.072134971618652
none,1,28,1.0,0.0,1.0,1.0,1.0,1.0,42.06640625,56.7421875,52.28125,50.6953125,147.07421875,186.98046875,174.546875,172.09765625,0.0,0.0,9.2734375,12.928317070007324
none,1,29,1.0,0.0,1.0,1.0,1.0,1.0,43.12890625,58.04296875,52.71484375,50.4921875,148.56640625,191.29296875,174.95703125,170.01171875,0.0,0.0,9.078125,13.073301315307617
none,1,30,1.0,0.0,1.0,1.0,1.0,1.0,42.76953125,57.6328125,53.3203125,52.08984375,147.28125,188.6796875,173.59375,173.32421875,0.0,0.0,8.70703125,13.285539627075195
none,1,31,1.0,0.0,1.0,1.0,1.0,1.0,42.50390625,56.93359375,53.20703125,50.7265625,146.57421875,186.2109375,174.84765625,169.23828125,0.0,0.0,8.40234375,13.231422424316406
none,1,32,1.0,0.0,1.0,1.0,1.0,1.0,43.58984375,57.91015625,53.46484375,51.6796875,148.48828125,186.48828125,172.609375,170.8984375,0.0,0.0,8.41015625,13.369182586669922
none,1,33,1.0,0.0,1.0,1.0,1.0,1.0,44.10546875,58.36328125,54.18359375,52.52734375,149.125,186.828125,173.890625,173.984375,0.0,0.0,8.37890625,13.801379203796387
none,1,34,1.0,0.0,1.0,1.0,1.0,1.0,43.5703125,57.83984375,55.28515625,53.90234375,147.2421875,185.54296875,178.7109375,177.03515625,0.0,0.0,7.9609375,14.178838729858398
none,1,35,1.0,0.0,1.0,1.0,1.0,1.0,43.77734375,59.57421875,56.34765625,54.3515625,146.9765625,191.56640625,180.58984375,177.09375,0.0,0.0,7.66015625,14.847047805786133
none,1,36,1.0,0.0,1.0,1.0,1.0,1.0,42.9765625,59.87109375,55.125,54.265625,143.73828125,191.26953125,174.9765625,176.63671875,0.0,0.0,7.40625,14.812835693359375
none,1,37,1.0,0.0,1.0,1.0,1.0,1.0,42.94140625,60.078125,55.7734375,53.828125,144.17578125,193.1015625,179.125,175.3828125,0.0,0.0,7.32421875,14.8811674118042
none,1,38,1.0,0.0,1.0,1.0,1.0,1.0,43.2734375,60.81640625,55.23046875,54.1328125,144.56640625,194.85546875,177.44921875,176.20703125,0.0,0.0,7.23828125,14.909704208374023
none,1,39,1.0,0.0,1.0,1.0,1.0,1.0,42.56640625,60.546875,57.296875,54.765625,142.58203125,195.4296875,185.7265625,178.625,0.0,0.0,6.87109375,15.475187301635742
none,1,40,1.0,0.0,1.0,1.0,1.0,1.0,41.10546875,60.296875,59.2890625,55.63671875,137.87890625,195.23046875,191.109375,181.94921875,0.0,0.0,6.78515625,16.001707077026367
none,1,41,1.0,0.0,1.0,1.0,1.0,1.0,40.62109375,60.97265625,58.59765625,56.59375,137.24609375,196.80078125,190.23046875,184.58984375,0.0,0.0,6.1796875,16.528966903686523
none,1,42,1.0,0.0,1.0,1.0,1.0,1.0,42.39453125,62.21875,59.109375,56.2734375,142.03515625,199.01171875,190.453125,183.52734375,0.0,0.0,6.296875,16.486209869384766
none,1,43,1.0,0.0,1.0,1.0,1.0,1.0,41.625,61.9765625,58.58984375,55.2734375,138.8515625,199.76171875,189.6484375,180.34765625,0.0,0.0,5.74609375,16.254737854003906
none,1,44,1.0,0.0,1.0,1.0,1.0,1.0,40.9375,61.796875,60.66015625,55.42578125,135.03125,197.66015625,193.734375,180.33984375,0.0,0.0,5.41796875,16.8159236907959
none,1,45,1.0,0.0,1.0,1.0,1.0,1.0,39.81640625,62.45703125,60.48828125,55.05078125,130.4921875,199.8359375,193.515625,176.23046875,0.0,0.0,5.5,16.97793197631836
